product_id,name,description,category_id,brand_id,list_price,created_at,updated_at,,
2007,Przysmaki dla kota z kurczaka,Miekkie mieso z kurczaka w plastrach,23,8,12.99,2023-01-10T12:40:00,2023-01-10T12:40:00,,
2008,Przysmaki dla kota krem z tunczyka,Kremowy przysmak z tunczyka w tubie,23,12,8.99,2023-01-10T12:45:00,2023-01-10T12:45:00,,
2009,Przysmaki dla kota suszone rybki,Naturalne suszone rybki dla kotow,23,12,16.99,2023-01-10T12:50:00,2023-01-10T12:50:00,,
2010,Zabawka dla kota mysz pluszowa,Pluszowa mysz z kocimietka,24,4,9.99,2023-01-10T12:55:00,2023-01-10T12:55:00,,
2011,Zabawka dla kota pilka z dzwonkiem,Pilka z dzwonkiem do zabawy,24,4,7.99,2023-01-10T13:00:00,2023-01-10T13:00:00,,
2012,Zabawka dla kota wahadlo z piorem,Wahadlo z kolorowym piorem,24,4,19.99,2023-01-10T13:05:00,2023-01-10T13:05:00,,
2013,Zabawka dla kota tunel,Skladany tunel do zabawy i ukrywania,24,4,45.99,2023-01-10T13:10:00,2023-01-10T13:10:00,,
2014,Zabawka dla kota laser automatyczny,Automatyczny laser do zabawy,24,14,89.99,2023-01-10T13:15:00,2023-01-10T13:15:00,,
2015,Kuweta dla kota zamknieta duza,Kuweta z pokrywa i filtrem,25,6,119.99,2023-01-10T13:20:00,2023-01-10T13:20:00,,
2016,Kuweta dla kota otwarta srednia,Klasyczna kuweta z wysokimi brzegami,25,6,45.99,2023-01-10T13:25:00,2023-01-10T13:25:00,,
2017,Zywica bentonitowa zapachowa 10l,Zywica z wonia lawendy zbrylajaca,25,10,35.99,2023-01-10T13:30:00,2023-01-10T13:30:00,,
2018,Zywica silikonowa 5l,Zywica krzemionkowa ultra wchlaniajaca ,25,10,45.99,2023-01-10T13:35:00,2023-01-10T13:35:00,,
2019,Zywica drewniana naturalna 20l,Ekologiczna zywica z drewna,25,10,55.99,2023-01-10T13:40:00,2023-01-10T13:40:00,,
2020,Drapak dla kota 120cm,Wysoki drapak z platformami ,26,6,199.99,2023-01-10T13:45:00,2023-01-10T13:45:00,,
2021,Drapak dla kota 80cm z legowiskiem,Drapak z legowiskiem na gorze,26,6,149.99,2023-01-10T13:50:00,2023-01-10T13:50:00,,
2022,Drapak dla kota scienny,Drapak montowany do sciany,26,6,79.99,2023-01-10T13:55:00,2023-01-10T13:55:00,,
2023,Mata drapak dla kota,Mata sizalowa do drapania,26,6,39.99,2023-01-10T14:00:00,2023-01-10T14:00:00,,
2024,Legowisko dla kota okragle szare,Miekkie okragle legowisko,27,6,69.99,2023-01-10T14:05:00,2023-01-10T14:05:00,,
2025,Legowisko dla kota domek,Domek-legowisko z dachem,27,6,89.99,2023-01-10T14:10:00,2023-01-10T14:10:00,,
2026,Szczotka dla kota do wyczesywania,Szczotka do usuwania podszerstka,28,5,32.99,2023-01-10T14:15:00,2023-01-10T14:15:00,,
2027,Szampon dla kota 200ml,Delikatny%szampon%dla%kotow,28,5,24.99,2023-01-10T14:20:00,2023-01-10T14:20:00,,
3001,Karma dla papug 1kg,Mieszanka nasion dla papug,30,14,22.99,2023-01-10T14:25:00,2023-01-10T14:25:00,,
3002,Karma dla kanarkow 500g,Specjalna mieszanka dla kanarkow,30,14,15.99,2023-01-10T14:30:00,2023-01-10T14:30:00,,
3003,Karma dla nimf 800g,Mieszanka nasion dla nimf,30,14,18.99,2023-01-10T14:35:00,2023-01-10T14:35:00,,
3004,Klatka dla ptakow 60x40x60cm,Przestronna klatka dla srednych ptakow,31,14,249.99,2023-01-10T14:40:00,2023-01-10T14:40:00,,
3005,Klatka dla kanarkow 40x30x50cm,Klatka dla malych ptakow spiewajacych,31,14,159.99,2023-01-10T14:45:00,2023-01-10T14:45:00,,
3006,Zabawka dla ptaka lustro z dzwonkiem,Lustro z kolorowym dzwonkiem,32,14,12.99,2023-01-10T14:50:00,2023-01-10T14:50:00,,
3007,Zabawka dla ptaka hustawka,Drewniana hustawka do klatki ,32,14,15.99,2023-01-10T14:55:00,2023-01-10T14:55:00,,
3008,Zabawka dla ptaka drabinka,Drabinka z naturalnego drewna,32,14,18.99,2023-01-10T15:00:00,2023-01-10T15:00:00,,
4001,Karma dla chomika 500g,Mieszanka nasion i warzyw dla chomikow,40,14,12.99,2023-01-10T15:05:00,2023-01-10T15:05:00,,
4002,Karma dla swinki morskiej 1kg,Pellet z witamina C dla swinek,40,14,18.99,2023-01-10T15:10:00,2023-01-10T15:10:00,,
4003,Karma dla krolikow 2kg,Pellet warzywny dla krolikow,40,14,24.99,2023-01-10T15:15:00,2023-01-10T15:15:00,,
4004,Klatka dla chomika 50x30x30cm,Klatka z domkiem dla chomika,41,14,119.99,2023-01-10T15:20:00,2023-01-10T15:20:00,,
4005,Klatka dla swinki morskiej 80x50x40cm,Duza klatka dla swinek morskich,41,14,189.99,2023-01-10T15:25:00,2023-01-10T15:25:00,,
4006,Klatka dla krolika 100x60x50cm,Przestronna klatka dla krolikow,41,14,299.99,2023-01-10T15:30:00,2023-01-10T15:30:00,,
4007,Sciolka dla gryzoni drewniana 15l,Naturalna sciolka z drewna,42,10,28.99,2023-01-10T15:35:00,2023-01-10T15:35:00,,
4008,Sciolka dla gryzoni papierowa 10l,Ekologiczna sciolka papierowa,42,10,24.99,2023-01-10T15:40:00,2023-01-10T15:40:00,,
5001,Pokarm dla ryb akwarystyczny 100ml,Uniwersalny pokarm w platkach,50,14,15.99,2023-01-10T15:45:00,2023-01-10T15:45:00,,
5002,Pokarm dla ryb zlotych 250ml,Specjalny pokarm dla zlotych rybek,50,14,22.99,2023-01-10T15:50:00,2023-01-10T15:50:00,,
5003,Pokarm dla ryb tropikalnych 150ml,Pokarm granulowany dla ryb tropikalnych,50,14,19.99,2023-01-10T15:55:00,2023-01-10T15:55:00,,
5004,Akwarium 60l ze sprzetem,Kompletny zestaw akwariowy,51,14,399.99,2023-01-10T16:00:00,2023-01-10T16:00:00,,
5005,Akwarium 100l panoramiczne,Duze panoramiczne akwarium,51,14,599.99,2023-01-10T16:05:00,2023-01-10T16:05:00,,
5006,Akwarium 30l nano,Male akwarium do krewetek,51,14,249.99,2023-01-10T16:10:00,2023-01-10T16:10:00,,
5007,Filtr wewnetrzny do akwarium 100l,Wydajny filtr wewnetrzny,52,14,89.99,2023-01-10T16:15:00,2023-01-10T16:15:00,,
5008,Filtr zewnetrzny kanistrowy 200l,Mocny filtr kanistrowy,52,14,299.99,2023-01-10T16:20:00,2023-01-10T16:20:00,,
5009,Dekoracja do akwarium zamek,Dekoracyjny zamek z otworami,53,14,45.99,2023-01-10T16:25:00,2023-01-10T16:25:00,,
5010,Dekoracja do akwarium skaly,Zestaw naturalnych skal,53,14,35.99,2023-01-10T16:30:00,2023-01-10T16:30:00,,
5011,Dekoracja do akwarium rosliny sztuczne,Zestaw sztucznych roslin,53,14,29.99,2023-01-10T16:35:00,2023-01-10T16:35:00,,
1027,Miska dla psa podwojna metalowa,Metalowe miski na wode i karme,1,4,39.99,2023-01-10T16:40:00,2023-01-10T16:40:00,,
1028,Miska dla psa ceramiczna duza,Ceramiczna miska dla duzych psow,1,4,45.99,2023-01-10T16:45:00,2023-01-10T16:45:00,,
2028,Miska dla kota ceramiczna plaska,Plaska miska dla kotow,2,4,29.99,2023-01-10T16:50:00,2023-01-10T16:50:00,,
2029,Poidlo automatyczne dla kota,Fontanna z filtracja wody,2,14,129.99,2023-01-10T16:55:00,2023-01-10T16:55:00,,
1029,Transporter dla psa M,Plastikowy transporter dla psow ,1,7,119.99,2023-01-10T17:00:00,2023-01-10T17:00:00,,
1030,Transporter dla psa L,Duzy transporter dla duzych psow,1,7,189.99,2023-01-10T17:05:00,2023-01-10T17:05:00,,
2030,Transporter dla kota,Plastikowy transporter dla kotow,2,6,89.99,2023-01-10T17:10:00,2023-01-10T17:10:00,,
1031,Kamizelka odblaskowa dla psa M,Odblaskowa kamizelka bezpieczenstwa,15,7,42.99,2023-01-10T17:15:00,2023-01-10T17:15:00,,
1032,Kamizelka odblaskowa dla psa L,Duza kamizelka z odblaskami,15,7,49.99,2023-01-10T17:20:00,2023-01-10T17:20:00,,
1033,Ubranka dla psa kurtka M,Zimowa kurtka dla psow,1,15,79.99,2023-01-10T17:25:00,2023-01-10T17:25:00,,
1034,Ubranka dla psa kurtka L,Duza zimowa kurtka wodoodporna,1,15,99.99,2023-01-10T17:30:00,2023-01-10T17:30:00,,
2031,Toaleta automatyczna dla kota,Samooczyszczajaca sie kuweta,25,14,899.99,2023-01-10T17:35:00,2023-01-10T17:35:00,,
1035,Pojemnik na karme 10kg,Szczelny pojemnik do przechowywania,1,4,59.99,2023-01-10T17:40:00,2023-01-10T17:40:00,,
2032,Pojemnik na karme dla kota 5kg,Pojemnik plastikowy szczelny ,2,4,39.99,2023-01-10T17:45:00,2023-01-10T17:45:00,,
